Model,Method,w1,w2,K,N,MAP,MRR,CTR,missing_bridges,missing_cf,not_enough_bridges,not_enough_cf,GDPS,GAPS,APS,COV
reranker,frequencyScore,0.7,0.30000000000000004,100,5,0.009184987533426696,0.01261706586554653,0.025322051155277994,4106,0,41232,0,0.10793373731089818,0.12035443067107732,0.10399569271217106,0.3389161004898088
reranker,frequencyScoreNormalizedLog2,0.5,0.5,100,10,0.01547702866270437,0.032081380219568224,0.09040896149632016,4106,0,41232,0,0.13870571359618175,0.15959167290311482,0.13630861644661832,0.37241270342866173
reranker,frequencyScore,0.9,0.09999999999999998,100,20,0.004565388302998577,0.011752280408258079,0.048895839574634795,4106,0,41232,0,0.08213755703810191,0.09816468662456876,0.07983062267863783,0.47037446674040134
reranker,frequencyScoreNormalizedLog2,0.5,0.5,20,20,0.04093593285691536,0.08042885276996686,0.4854331450666634,4106,0,8996,0,0.19266939379947262,0.21668244579669996,0.19403845634930939,0.4499920998577974
reranker,frequencyScore,0.3,0.7,100,10,0.01696614956749474,0.03389988388809555,0.10621350802692471,4106,0,41232,0,0.14393142426758387,0.16240430992201163,0.14049306683902427,0.29372728709116763
bridges,frequencyScoreNormalizedLog2,0,0,50,5,0.11210931820645197,0.23249330082681155,0.36333585702896093,0,0,0,0,0.359877790093828,0.4083207747265016,0.35495612084045397,0.34318217727919104
reranker,frequencyScore,0.1,0.9,50,1,0.18057008271971978,0.12428254687771179,0.12428254687771179,4106,0,22137,0,0.39889019294542694,0.3685890872389611,0.3915566978186761,0.2161478906620319
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,20,3,0.008760978201273228,0.007711705431226058,0.013635654343204668,4106,0,8996,0,0.10474475321710351,0.11433600231265219,0.10294896813283538,0.30873755727603097
reranker,frequencyScore,0.9,0.09999999999999998,50,3,0.006875971022147265,0.0065996958173340555,0.010785031583855109,4106,0,22137,0,0.09353132058708581,0.10106485215201982,0.09033057404279568,0.30447148048664874
reranker,frequencyScoreNormalizedLog2,0.1,0.9,50,3,0.13222073634917952,0.19640731722604807,0.2652900056174179,4106,0,22137,0,0.4042961974251015,0.43832775633026366,0.3986178973245617,0.17949123084215515
reranker,frequencyScore,0.1,0.9,50,10,0.052085897853018995,0.17768564322418703,0.3397459530457804,4106,0,22137,0,0.23109741527013491,0.265664338989371,0.2279203845218203,0.2911992415863486
reranker,frequencyScore,0.5,0.5,20,5,0.03491414096745572,0.028943653075944605,0.08935371233906644,4106,0,8996,0,0.1540415318151824,0.16756481077563293,0.14990228391641636,0.36261652709748776
bridges,frequencyScore,0,0,50,5,0.11210931820645197,0.23249330082681155,0.36333585702896093,0,0,0,0,0.359877790093828,0.4083207747265016,0.35495612084045397,0.34318217727919104
reranker,frequencyScore,0.9,0.09999999999999998,20,5,0.006071342509769839,0.007049529603531523,0.015561891907775677,4106,0,8996,0,0.08508634280636973,0.09699240044046814,0.08209684167847167,0.34950229104123876
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,50,1,0.010088884484773557,0.0055178037231054565,0.0055178037231054565,4106,0,22137,0,0.10780365637672863,0.11407430256842734,0.10659319494184716,0.2249960499288987
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,50,10,0.00787904348351827,0.014453109214971475,0.042364778892475224,4106,0,22137,0,0.1067240160198694,0.12609252219324826,0.10409147159110645,0.40796334334018014
reranker,frequencyScoreNormalizedLog2,0.5,0.5,100,3,0.019701467635036166,0.023364115606709007,0.03519360778998221,4106,0,41232,0,0.1671994213012747,0.18171670501342665,0.16705296015856594,0.2818770737873282
reranker,frequencyScore,0.3,0.7,100,3,0.019310255137772746,0.023107131110276416,0.03543348326423383,4106,0,41232,0,0.1417533178601687,0.14770476592984594,0.1395678426203904,0.2510665191973456
reranker,frequencyScore,0.3,0.7,20,1,0.1205114327173883,0.08539686978796188,0.08539686978796188,4106,0,8996,0,0.3648678775620358,0.34717697602456427,0.36423738007409356,0.21772791910254385
reranker,frequencyScoreNormalizedLog2,0.5,0.5,50,20,0.033096175440565534,0.05444190914442846,0.3865173754848489,4106,0,22137,0,0.17104673338998624,0.19473649041008312,0.16948857465437034,0.43861589508611154
reranker,frequencyScore,0.1,0.9,50,3,0.09651146229567008,0.15375345183653352,0.19281812608279067,4106,0,22137,0,0.29629113318561423,0.2997717952643145,0.29304826686451163,0.26023068415231476
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,20,5,0.00809127772624067,0.00938188816540956,0.02095555974376278,4106,0,8996,0,0.10131206692819061,0.11758473666936912,0.09844043493680463,0.35155632801390424
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,100,1,0.008728972007192562,0.004711615210409548,0.004711615210409548,4106,0,41232,0,0.10198539796566845,0.10742266724625985,0.0994180445877649,0.2207299731395165
reranker,frequencyScore,0.3,0.7,20,10,0.06718170528491274,0.17821978281694417,0.4354593889135453,4106,0,8996,0,0.26786581918988167,0.3109663305232368,0.2664892081962313,0.3273818928740717
reranker,frequencyScore,0.9,0.09999999999999998,50,5,0.006284929751471243,0.007858069312979847,0.016339805516160603,4106,0,22137,0,0.09221857679511941,0.10290840615524621,0.08860149164848789,0.34934428819718755
reranker,frequencyScoreNormalizedLog2,0.1,0.9,50,5,0.10425097372997733,0.21456307887924134,0.3444473313157184,4106,0,22137,0,0.35046865050151693,0.3961862708886818,0.34501919916684776,0.21693790488228787
reranker,frequencyScoreNormalizedLog2,0.1,0.9,20,1,0.21625594414866978,0.1473323484291183,0.1473323484291183,4106,0,8996,0,0.47280769134254147,0.4362098954134844,0.46253125000366674,0.13999051982935692
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,20,20,0.0035588012458942523,0.00923011483245632,0.03622461490447848,4106,0,8996,0,0.0744696718466965,0.09289336569103447,0.0733209808189472,0.478274608942961
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,100,10,0.00602865993142325,0.011234900040912807,0.03183220867699772,4106,0,41232,0,0.0887108953387425,0.10544974665698198,0.0851898494367257,0.40875335756043607
reranker,frequencyScore,0.3,0.7,50,20,0.03883605902834834,0.09742877194816968,0.5042366832792986,4106,0,22137,0,0.1994313510434236,0.22135571514189029,0.20100899554339333,0.32706588718596935
reranker,frequencyScore,0.1,0.9,20,5,0.09926307465698113,0.20516613672354395,0.3243455757332571,4106,0,8996,0,0.3345805949743803,0.37916534998316526,0.3291076038178651,0.27697898562174117
reranker,frequencyScoreNormalizedLog2,0.1,0.9,20,10,0.06751461198447332,0.23148948033044148,0.43906057160922407,4106,0,8996,0,0.2683871583795554,0.31090222407905826,0.2675505466222513,0.3166376994785906
bridges,frequencyScoreNormalizedLog2,0,0,100,20,0.042563581303168604,0.25048828001971074,0.5523800725780053,0,0,0,0,0.20252637037064863,0.21442348091250985,0.20765300585602434,0.4352978353610365
reranker,frequencyScore,0.7,0.30000000000000004,20,1,0.006310934640339473,0.0033883947479881405,0.0033883947479881405,4106,0,8996,0,0.08972164031548646,0.0925316910204139,0.08821131975782716,0.2257860641491547
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,50,3,0.010254354030985966,0.010166294054882296,0.016593462229283075,4106,0,22137,0,0.11157570075461563,0.12314072817328084,0.10956502340090774,0.31079159424869646
bridges,frequencyScore,0,0,100,20,0.042563581303168604,0.25048828001971074,0.5523800725780053,0,0,0,0,0.20252637037064863,0.21442348091250985,0.20765300585602434,0.4352978353610365
reranker,frequencyScoreNormalizedLog2,0.5,0.5,100,5,0.017322648556825807,0.027082813952303737,0.05164340887141208,4106,0,41232,0,0.15569458190460328,0.1758980087624669,0.15414988558735654,0.31616369094643704
reranker,frequencyScore,0.7,0.30000000000000004,50,20,0.005287152126983901,0.014538183400331231,0.05673694771898944,4106,0,22137,0,0.09275897237564695,0.10996155727793025,0.09102746829251854,0.4705324695844525
reranker,frequencyScore,0.3,0.7,100,5,0.01752360374275079,0.027236288864541627,0.053719536338515624,4106,0,41232,0,0.14012269397618793,0.15155463277420778,0.13695632165995023,0.272712908832359
reranker,frequencyScore,0.3,0.7,20,3,0.1046023367633011,0.13981738740976862,0.21274235027328053,4106,0,8996,0,0.35559837591240107,0.3830481267646732,0.3520902594902189,0.26007268130826355
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,100,3,0.008015337089235892,0.00813778419307876,0.012801389392266582,4106,0,41232,0,0.09617603717854917,0.10789851658802399,0.09262642851498283,0.3013114236056249
reranker,frequencyScore,0.1,0.9,50,5,0.07374925929951208,0.1647900348855178,0.2417235511529057,4106,0,22137,0,0.2653413226873903,0.28610859817918116,0.26129124815277655,0.2746089429609733
reranker,frequencyScore,0.5,0.5,100,20,0.008138571719253862,0.02307295271774851,0.09320262040387069,4106,0,41232,0,0.11088093113280341,0.12754168471936858,0.10840922911130349,0.4515721282983094
reranker,frequencyScore,0.5,0.5,50,1,0.013802746490208462,0.008138580775285826,0.008138580775285826,4106,0,22137,0,0.12988845336977745,0.12830459799646468,0.13068892136424282,0.23289619213145837
reranker,frequencyScoreNormalizedLog2,0.1,0.9,20,3,0.1373534646756558,0.20193508684123285,0.27389861971551266,4106,0,8996,0,0.40793750334752765,0.43995023388675686,0.40332554802324294,0.22404803286459157
reranker,frequencyScoreNormalizedLog2,0.1,0.9,100,20,0.041212061412756344,0.22801396845359778,0.5363238507450805,4106,0,41232,0,0.20205141374711852,0.2221918393633929,0.20552719176705167,0.24838047084847528
bridges,frequencyScoreNormalizedLog2,0,0,20,20,0.042563581303168604,0.25048828001971074,0.5523800725780053,0,0,0,0,0.20252637037064863,0.21442348091250985,0.20765300585602434,0.4352978353610365
reranker,frequencyScore,0.5,0.5,50,10,0.014781658677709184,0.02243158111005511,0.07745772302535438,4106,0,22137,0,0.12916694858371439,0.1487280688030952,0.12628888043347916,0.40511929214725867
reranker,frequencyScore,0.7,0.30000000000000004,20,3,0.008503977607543869,0.0074886158447980584,0.013214131551588917,4106,0,8996,0,0.10310398894010048,0.11200182790624759,0.10129864437719838,0.3074735345236214
reranker,frequencyScoreNormalizedLog2,0.3,0.7,100,10,0.03873830078107655,0.09488185887640084,0.2470958307757091,4106,0,41232,0,0.19840438704270877,0.22175486040954764,0.19743853438355086,0.2521725391057039
reranker,frequencyScoreNormalizedLog2,0.3,0.7,20,20,0.04244548828727498,0.19392820299505809,0.5530622212224566,4106,0,8996,0,0.20315372026597037,0.21607388046177842,0.207763077437787,0.3953231158160847
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,50,20,0.0046311349598034185,0.011128744855273962,0.04808181096515866,4106,0,22137,0,0.08202853143775087,0.10042535563495653,0.08029693072921545,0.4735345236214252
reranker,frequencyScore,0.3,0.7,20,5,0.09206526832199959,0.16052768371201195,0.3040334462122732,4106,0,8996,0,0.3266829670556816,0.3743000510328815,0.3209650748183054,0.28314109653973774
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,100,5,0.007240540480626687,0.009586935829993311,0.019191085431283533,4106,0,41232,0,0.09165947136132087,0.1067590531748685,0.0875379032575284,0.34476220571970295
reranker,frequencyScore,0.1,0.9,100,20,0.027285236374620356,0.15116822804541502,0.3453976381169461,4106,0,41232,0,0.16149551142644705,0.18049650595046776,0.15976484132052624,0.30399747195449517
reranker,frequencyScore,0.5,0.5,50,3,0.01341565130015342,0.014360358898576541,0.02292666445530045,4106,0,22137,0,0.13838957373466815,0.14393770763218353,0.13781032079566527,0.3147416653499763
reranker,frequencyScoreNormalizedLog2,0.1,0.9,20,5,0.10784353038820554,0.21997438776203976,0.3526808241581197,4106,0,8996,0,0.3534429689640993,0.39990976573178405,0.34785727299945374,0.26433875809764573
reranker,frequencyScoreNormalizedLog2,0.3,0.7,100,3,0.056568651630651126,0.07227950834957025,0.10817022150247942,4106,0,41232,0,0.26282088046478824,0.2830033688353226,0.2613068496156378,0.18628535313635644
